"Latest: Time (s)","Latest: Temperature (°C)"
51,20.6227687323
51.5,20.6051587837
52,20.5875473174
52.5,20.5655308416
53,20.5479159401
53.5,20.5332356826
54,20.5244270148
54.5,20.496530352
55,20.4833147868
55.5,20.4627555005
56,20.4451315627
56.5,20.4392565686
57,20.4216305389
57.5,20.4054719613
58,20.3849045776
58.5,20.3702122674
59,20.3584576235
59.5,20.3452328017
60,20.3187804565
60.5,20.2996737363
61,20.2820350829
61.5,20.2643948101
62,20.2526337258
62.5,20.2394016407
63,20.226168637
63.5,20.1996998648
64,20.182051961
64.5,20.1658732655
65,20.1585188532
65.5,20.134982797
66,20.0746581022
66.5,20.0614134707
67,20.0437524833
67.5,20.0231458553
68,19.9995925866
68.5,19.9937037952
69,19.9745639091
69.5,19.9627845164
70,19.9348053903
70.5,19.9186049682
71,19.9038760466
71.5,19.8906189843
72,19.8788341054
72.5,19.8596820197
73,19.8434748012
73.5,19.814003341
74,19.8051609461
74.5,19.787474827
75,19.7801050865
75.5,19.7579940096
76,19.7388288186
76.5,19.7167125215
77,19.7078652158
77.5,19.6916439843
78,19.6798457709
78.5,19.6636219123
79,19.6370704844
79.5,19.6223179173
80,19.607564079
80.5,19.5957600909
81,19.5706738999
81.5,19.5529637692
82,19.5337757031
82.5,19.517537943
83,19.5042513378
83.5,19.4968694364
84,19.4806281091
84.5,19.4540479884
85,19.4348485977
85.5,19.417124113
86,19.4097383514
86.5,19.3979204467
87,19.3698495291
87.5,19.3580287621
88,19.3417738163
88.5,19.3329068019
89,19.3166493583
89.5,19.2959557202
90,19.2811729366
90.5,19.2560391078
91,19.2471674111
91.5,19.2309013653
92,19.2175915586
92.5,19.1968852195
93,19.1776555044
93.5,19.1599029401
94,19.1510259152
94.5,19.1347500803
95,19.1243918605
95.5,19.108113287
96,19.0918330338
96.5,19.0651889849
97,19.0518652631
97.5,19.0340985351
98,19.0296565371
98.5,19.0044828224
99,18.9881917748
99.5,18.9704177691
100,18.9570859234
100.5,18.94078988
101,18.9378267776
101.5,18.9200469638
102,18.906710751
102.5,18.8800348371
103,18.869659611
103.5,18.8592836778
104,18.8444596871
104.5,18.8222209833
105,18.801461908
105.5,18.7910812986
106,18.7688347229
106.5,18.7525184709
107,18.7510350871
107.5,18.7362004398
108,18.7243316607
108.5,18.7035590217
109,18.6827834785
109.5,18.6664577938
110,18.6590364322
110.5,18.6471614774
