"Latest: Time (s)","Latest: Temperature (°C)"
78.5,33.2761350772
79,33.3058508721
79.5,33.3311138582
80,33.3519218279
80.5,33.3786791369
81,33.4084150481
81.5,33.4217981264
82,33.4455932146
82.5,33.4708796435
83,33.5080733619
83.5,33.5170012393
84,33.5422998132
84.5,33.5780228212
85,33.6048207652
85.5,33.6122655065
86,33.6405589748
86.5,33.6628997936
87,33.6971623729
87.5,33.7165317555
88,33.7329232571
88.5,33.7627307541
89,33.7865811942
89.5,33.7999988072
90,33.8238554439
90.5,33.8492074834
91,33.8864980915
91.5,33.8969412161
92,33.9208141061
92.5,33.9536459165
93,33.979021194
93.5,33.9999219246
94,34.0133597551
94.5,34.0357590097
95,34.0656302797
95.5,34.0880379434
96,34.1089550297
96.5,34.1283808703
97,34.1552827028
97.5,34.1791998573
98,34.2001307861
98.5,34.2105974499
99,34.2300376654
99.5,34.2644386808
100,34.2734142889
100.5,34.2973521453
101,34.321294232
101.5,34.3482341518
102,34.3676941103
102.5,34.3826652258
103,34.4021301732
103.5,34.4201003279
104,34.4530518902
104.5,34.4695307269
105,34.4875099693
105.5,34.5054916478
106,34.5339676341
106.5,34.5579521749
107,34.5774428303
107.5,34.5849400055
108,34.6059343743
108.5,34.6314320597
109,34.6539341487
109.5,34.6629360714
110,34.6854436012
110.5,34.7094559309
111,34.728969224
111.5,34.749986832
112,34.7725094963
112.5,34.778516205
113,34.7995418948
113.5,34.8250777192
114,34.8446085494
114.5,34.8656450891
115,34.8746618108
115.5,34.9017158069
116,34.9182516393
116.5,34.9498260359
117,34.9874248872
117.5,35.00547632
118,35.0340630577
118.5,35.0370725668
119,35.0581411552
119.5,35.0822238886
120,35.1063112707
120.5,35.1228740493
121,35.1319092224
121.5,35.1545000331
122,35.1725756476
122.5,35.1861340923
123,35.2132554497
123.5,35.2298325519
124,35.2509339148
124.5,35.2554561072
125,35.2871161274
125.5,35.3006872157
126,35.3218007961
126.5,35.3263256104
127,35.3474436342
127.5,35.3670565128
128,35.3776186065
128.5,35.409310414
129,35.4198761957
129.5,35.4304429022
130,35.448559411
130.5,35.4681887057
131,35.4908418773
131.5,35.508967496
132,35.5165206469
132.5,35.5391829631
133,35.5452269739
133.5,35.5633608442
134,35.5845205172
134.5,35.6087076148
135,35.6177790478
135.5,35.6359239984
136,35.6404606709
136.5,35.6631466461
137,35.6828113536
137.5,35.6964273053
138,35.7070185798
138.5,35.716097575
139,35.7327442237
139.5,35.7539342877
140,35.7615030976
140.5,35.7857265844
141,35.8038975007
141.5,35.8084406727
142,35.8266151347
142.5,35.8387330217
143,35.8614574712
143.5,35.8766095807
144,35.8917636751
144.5,35.9008570859
145,35.9099512132
145.5,35.925109686
146,35.9433024877
146.5,35.9508836711
147,35.9736302245
147.5,35.9948644128
148,36.005482984
148.5,36.0206540827
149,36.0252058052
149.5,36.0464495789
150,36.0692151623
150.5,36.0768047029
151,36.0919853055
151.5,36.1026129359
152,36.1162784965
152.5,36.1208340499
153,36.1390580983
153.5,36.1466523192
154,36.170957261
154.5,36.1891894082
155,36.1907088871
155.5,36.199826192
156,36.2150233444
156.5,36.23478272
157,36.2515049139
157.5,36.2636680795
158,36.2803945943
158.5,36.2864775849
159,36.3032075203
159.5,36.3092917562
160,36.3168975188
160.5,36.3321106047
161,36.3412394562
161.5,36.362543031
162,36.3808064985
162.5,36.3884171664
163,36.4066849081
163.5,36.4082073564
164,36.4173424869
164.5,36.4371378671
165,36.4554136857
165.5,36.459983115
166,36.4797861726
166.5,36.4858801402
167,36.5011165418
167.5,36.5026402986
168,36.5148311164
168.5,36.5270232934
169,36.5422654286
169.5,36.5620833888
170,36.5758056274
170.5,36.5773304274
171,36.5895295971
171.5,36.6002049941
172,36.6093561699
172.5,36.6291863668
173,36.6459686004
173.5,36.6535977492
174,36.6658055076
174.5,36.6734360575
175,36.6749622322
175.5,36.684119734
176,36.6978574457
176.5,36.7085435443
177,36.7207575282
177.5,36.7299189271
178,36.7451896624
178.5,36.7665723458
179,36.7711549048
179.5,36.7818483056
180,36.7940706447
180.5,36.7971264479
181,36.807822448
181.5,36.8276892939
182,36.8399168866
182.5,36.8460312098
183,36.8597897224
183.5,36.8674341103
184,36.8689630539
184.5,36.8811953958
185,36.8918998523
185.5,36.9026053902
186,36.9148416164
186.5,36.9224899766
187,36.9362584199
187.5,36.9515587964
188,36.963800696
188.5,36.963800696
189,36.9699221792
189.5,36.9852274448
190,36.9898194587
190.5,37.0035967044
191,37.0189068756
191.5,37.0326879407
192,37.0403448712
192.5,37.0510655149
193,37.0617872574
193.5,37.0679144612
194,37.0786379327
194.5,37.0862982298
195,37.0878303567
195.5,37.0954913289
196,37.1092824981
196.5,37.1138799604
197,37.126140853
197.5,37.1445349034
198,37.1522000527
198.5,37.1583325798
199,37.1644654696
199.5,37.179799282
200,37.1828663169
200.5,37.1874670397
201,37.1936016549
201.5,37.2074058702
202,37.2227460508
202.5,37.2334855342
203,37.2380885123
203.5,37.2518986808
204,37.2565024819
204.5,37.2626412038
205,37.2764546679
205.5,37.2810595686
206,37.2856646757
206.5,37.2933403133
207,37.305622528
207.5,37.3086933115
208,37.3209773662
208.5,37.3378703483
209,37.3470858784
209.5,37.3532300268
210,37.3547661217
210.5,37.3578383808
211,37.3747374589
211.5,37.3793467844
212,37.3824197838
212.5,37.3977861718
213,37.4054702358
213.5,37.4177659457
214,37.4269887045
214.5,37.4300631436
215,37.4392870195
215.5,37.4500492682
216,37.4515868256
216.5,37.4515868256
217,37.4546620103
217.5,37.4685014967
218,37.4746529869
218.5,37.47926685
219,37.4900333493
219.5,37.4992626903
220,37.5023393248
220.5,37.508492875
221,37.5192624909
221.5,37.5284945059
222,37.543883078
222.5,37.5500391656
223,37.5515782463
223.5,37.55619563
224,37.5700490536
224.5,37.5731278516
225,37.5731278516
225.5,37.576206744
226,37.585443988
226.5,37.5946820827
227,37.605460936
227.5,37.6147008763
228,37.6224014782
228.5,37.6239416697
229,37.6331833169
229.5,37.6439663188
230,37.6470473902
230.5,37.6501285568
231,37.6562911753
231.5,37.6686175544
232,37.6716993873
232.5,37.6716993873
233,37.6747813155
233.5,37.6809454579
234,37.6932748877
234.5,37.6963574838
235,37.6994401754
235.5,37.7086888238
236,37.721021694
236.5,37.7287305158
237,37.7379818926
237.5,37.7456920326
238,37.7456920326
238.5,37.7472341325
239,37.7503184045
239.5,37.7580295044
240,37.7672836172
240.5,37.7703685138
241,37.774996039
241.5,37.7888799145
242,37.7950511521
242.5,37.8043087318
243,37.8135671802
243.5,37.8181967304
244,37.8212832179
244.5,37.8274564831
245,37.8398041745
245.5,37.8428913394
246,37.8444349581
246.5,37.8506096754
247,37.8583286174
247.5,37.8660481656
248,37.8675921481
248.5,37.8691361548
249,37.8691361548
249.5,37.8768565527
250,37.8876661302
250.5,37.892299171
251,37.8938435666
251.5,37.8969324309
252,37.9077442225
252.5,37.9154676618
253,37.9247365936
253.5,37.938641639
254,37.9417319178
254.5,37.9417319178
255,37.9432770939
255.5,37.9479127688
256,37.9556393829
256.5,37.9649121276
257,37.9664576708
257.5,37.9664576708
258,37.9664576708
258.5,37.9695488306
259,37.9726400885
259.5,37.9834602636
260,37.9911896962
260.5,38.0004658259
261,38.0097428404
261.5,38.0128353754
262,38.0143816798
262.5,38.0190207406
263,38.0298460779
263.5,38.0360325272
264,38.0391258997
264.5,38.0391258997
265,38.0391258997
265.5,38.040672623
266,38.0515003771
266.5,38.0685178648
267,38.08244349
267.5,38.0963711216
268,38.1133965109
268.5,38.1195883066
269,38.1273286104
269.5,38.1366177959
270,38.1381660806
270.5,38.1381660806
271,38.1381660806
271.5,38.1397143902
272,38.1412627247
272.5,38.1505532549
273,38.1551988564
273.5,38.161393341
274,38.1629420245
274.5,38.164490733
275,38.1675882248
275.5,38.1737835081
276,38.1784302329
276.5,38.186175274
277,38.1908225988
277.5,38.1970193822
278,38.2047659248
278.5,38.2063153084
279,38.2109636098
279.5,38.2125130937
280,38.2171616959
280.5,38.2218105238
281,38.2295590722
281.5,38.235758363
282,38.235758363
282.5,38.235758363
283,38.2373082485
283.5,38.2373082485
284,38.2419580557
284.5,38.2466080893
285,38.2543586482
285.5,38.2590092856
286,38.2605595484
286.5,38.2605595484
287,38.265210488
287.5,38.2698616543
288,38.2760635622
288.5,38.2791646675
289,38.2838165147
289.5,38.2869178723
290,38.2884685889
290.5,38.2931208905
291,38.2977734193
291.5,38.3055281396
292,38.3101812751
292.5,38.3179370071
293,38.3210394771
293.5,38.3287960953
294,38.33189892
294.5,38.335001846
295,38.335001846
295.5,38.3365533471
296,38.3365533471
296.5,38.3396564253
297,38.342759605
297.5,38.3458628862
298,38.3551733391
298.5,38.3567251701
299,38.3598289085
299.5,38.3598289085
300,38.3598289085
300.5,38.3598289085
301,38.3613808157
301.5,38.3613808157
302,38.3644847066
302.5,38.3660366901
303,38.3769012872
303.5,38.3800056868
304,38.3815579248
304.5,38.3877671315
305,38.3893194969
305.5,38.3924243041
306,38.3955292133
306.5,38.4048445529
307,38.4063971988
307.5,38.4063971988
