"Latest: Time (s)","Latest: Temperature (°C)"
339,22.7163486575
339.5,22.7178042255
340,22.7163486575
340.5,22.7192597874
341,22.7236264365
341.5,22.7265375055
342,22.7294485501
342.5,22.7294485501
343,22.7338150714
343.5,22.7381815382
344,22.744003409
344.5,22.7454588616
345,22.7512806115
345.5,22.7512806115
346,22.7556468606
346.5,22.7585576631
347,22.7600130554
347.5,22.7614684416
348,22.7614684416
348.5,22.7614684416
349,22.7614684416
349.5,22.7614684416
350,22.7614684416
350.5,22.7614684416
351,22.7629238219
351.5,22.7629238219
352,22.7643791961
352.5,22.7643791961
353,22.770200633
353.5,22.7716559772
354,22.7731113154
354.5,22.7789326085
355,22.7774772942
355.5,22.7832985156
356,22.7832985156
356.5,22.7832985156
357,22.7862090904
357.5,22.7876643689
358,22.7891196414
358.5,22.790574908
359,22.7920301686
359.5,22.7978511516
360,22.8007616074
360.5,22.8051272467
361,22.8036720395
361.5,22.8051272467
362,22.806582448
362.5,22.8124031938
363,22.8153135312
363.5,22.818223845
364,22.8211341353
364.5,22.8225892716
365,22.8254995265
365.5,22.824044402
366,22.8269546451
366.5,22.8298648647
367,22.8313199657
367.5,22.8327750609
368,22.8313199657
368.5,22.8342301501
369,22.8385953827
369.5,22.8385953827
370,22.8429605627
370.5,22.8487807207
371,22.84732569
371.5,22.8516907647
372,22.8502357456
372.5,22.8502357456
373,22.8546007854
373.5,22.853145778
374,22.8546007854
374.5,22.856055787
375,22.856055787
375.5,22.8604207569
376,22.8618757353
376.5,22.8647856746
377,22.8676955906
377.5,22.8706054835
378,22.8706054835
378.5,22.8749702794
379,22.8749702794
379.5,22.8749702794
380,22.8764251998
380.5,22.8764251998
381,22.8764251998
381.5,22.8778801145
382,22.8764251998
382.5,22.8778801145
383,22.8793350233
383.5,22.8793350233
384,22.8778801145
384.5,22.885154601
385,22.8836997152
385.5,22.885154601
386,22.8895192238
386.5,22.8924289435
387,22.8938837948
387.5,22.8953386403
388,22.8982483141
388.5,22.8982483141
389,22.8982483141
389.5,22.8997031424
390,22.901157965
390.5,22.8997031424
391,22.9055223983
391.5,22.904067593
392,22.9055223983
392.5,22.9098867802
393,22.9127963396
393.5,22.9142511107
394,22.9171606359
394.5,22.9186153899
395,22.9215248809
395.5,22.9244343491
396,22.9258890747
396.5,22.9331626175
397,22.9346173091
397.5,22.9375266753
398,22.9375266753
398.5,22.9375266753
399,22.9404360188
399.5,22.9433453398
400,22.9433453398
400.5,22.9462546381
401,22.9462546381
401.5,22.9477092789
402,22.9462546381
402.5,22.949163914
403,22.949163914
403.5,22.9520731673
404,22.9564370051
404.5,22.9549823981
405,22.9578916064
405.5,22.9593462022
406,22.9622553768
406.5,22.9637099558
407,22.9680736589
407.5,22.9680736589
408,22.9695282155
408.5,22.9695282155
409,22.9709827664
409.5,22.9695282155
410,22.9695282155
410.5,22.9695282155
411,22.9709827664
411.5,22.9709827664
412,22.9724373118
412.5,22.9738918516
413,22.9738918516
413.5,22.9768009144
414,22.9840734739
414.5,22.9855279691
415,22.9884369429
415.5,22.9913458944
416,22.9869824588
416.5,22.9942548238
417,22.9957092802
417.5,22.9957092802
418,23.0015270503
418.5,23.0058903199
419,23.0044359023
419.5,23.0087991388
420,23.0117079355
420.5,23.0131623257
421,23.0146167103
421.5,23.0160710894
422,23.0160710894
422.5,23.0189798312
423,23.0189798312
423.5,23.021888551
424,23.0233429027
424.5,23.0262515897
425,23.0291602547
425.5,23.0349775192
426,23.0364318216
426.5,23.045157522
427,23.042248977
427.5,23.045157522
428,23.0509745468
428.5,23.0495202988
429,23.0611541315
429.5,23.0611541315
430,23.0669709181
430.5,23.07424178
431,23.0800583728
431.5,23.0786042326
432,23.084420761
432.5,23.0829666369
433,23.084420761
433.5,23.0858748797
434,23.088783101
434.5,23.0902372036
435,23.0916913009
435.5,23.0960535607
436,23.0975076366
436.5,23.1062319804
437,23.107686019
437.5,23.107686019
438,23.1164101397
438.5,23.1149561329
439,23.1193181376
439.5,23.1207721286
440,23.1294959637
440.5,23.1294959637
441,23.1309499178
441.5,23.1309499178
442,23.1309499178
442.5,23.1309499178
443,23.1309499178
443.5,23.1324038666
444,23.1309499178
444.5,23.1338578101
445,23.1338578101
445.5,23.1353117484
446,23.1396735318
446.5,23.1425813611
447,23.1440352679
447.5,23.1498508429
448,23.1498508429
448.5,23.1542124692
449,23.1556663342
449.5,23.1556663342
450,23.157120194
450.5,23.157120194
451,23.1600278979
451.5,23.1643894148
452,23.1658432434
452.5,23.170204698
453,23.1731123084
453.5,23.1760198982
454,23.1774736853
454.5,23.180381244
455,23.1847425434
455.5,23.1920112726
456,23.1891037963
456.5,23.193465003
457,23.1978261635
457.5,23.2007335781
458,23.2021872777
458.5,23.2007335781
459,23.2007335781
459.5,23.2036409723
460,23.2050946617
460.5,23.2050946617
461,23.2094556992
461.5,23.2094556992
462,23.2138166908
462.5,23.2181776365
463,23.2210849083
463.5,23.2210849083
464,23.2225385365
464.5,23.2225385365
465,23.2225385365
465.5,23.2225385365
466,23.2225385365
466.5,23.2225385365
467,23.2239921597
467.5,23.2239921597
468,23.2239921597
468.5,23.2254457777
469,23.2283529987
469.5,23.2312601994
470,23.2312601994
470.5,23.2341673798
471,23.2414352425
471.5,23.2385281126
472,23.2414352425
472.5,23.2443423523
473,23.2457958996
473.5,23.2457958996
474,23.2472494419
474.5,23.2472494419
475,23.2516100387
475.5,23.2545170781
476,23.2559705903
476.5,23.2574240974
477,23.2617845889
477.5,23.2632380761
478,23.2690519747
478.5,23.2661450354
479,23.2690519747
479.5,23.2675985076
480,23.2705054369
480.5,23.2705054369
481,23.2734123464
481.5,23.2748657937
482,23.276319236
482.5,23.2777726733
483,23.2821329555
483.5,23.2850397854
